dose,cv_iiv,AUC_E,Cmax,herg_rate,caco_rate,composite_score,constraints_met,efficacy_score,safety_score
105.26315789473685,0.42499999999999993,16.767086264238152,10.49937374066795,1.0,1.0,-9.329316549430473,False,1.11780575094921,0.0
105.26315789473685,0.44999999999999996,16.767086264238152,10.49937374066795,1.0,1.0,-9.329316549430473,False,1.11780575094921,0.0
105.26315789473685,0.475,16.767086264238152,10.49937374066795,1.0,1.0,-9.329316549430473,False,1.11780575094921,0.0
105.26315789473685,0.5,16.767086264238152,10.49937374066795,1.0,1.0,-9.329316549430473,False,1.11780575094921,0.0
113.15789473684211,0.15,17.959557820385594,11.286826771218045,0.824827853416586,0.83046959692581,-9.212677177253056,False,1.1973038546923729,0.17235127482880197
113.15789473684211,0.175,17.959557820385594,11.286826771218045,0.87728768703426,0.8564718545258404,-9.228369595496597,False,1.1973038546923729,0.13312022921994981
113.15789473684211,0.19999999999999998,17.959557820385594,11.286826771218045,0.9254198542480823,0.8796531963300154,-9.242632297300196,False,1.1973038546923729,0.09746347471095118
113.15789473684211,0.22499999999999998,17.959557820385594,11.286826771218045,0.9700627355973033,0.900620834703972,-9.25575440124483,False,1.1973038546923729,0.0646582148493624
113.15789473684211,0.25,17.959557820385594,11.286826771218045,1.0,0.9198001746460007,-9.265577722113777,False,1.1973038546923729,0.04009991267699964
113.15789473684211,0.27499999999999997,17.959557820385594,11.286826771218045,1.0,0.9375016154038831,-9.269118010265354,False,1.1973038546923729,0.031249192298058448
113.15789473684211,0.3,17.959557820385594,11.286826771218045,1.0,0.9539590598637286,-9.272409499157321,False,1.1973038546923729,0.02302047006813568
113.15789473684211,0.32499999999999996,17.959557820385594,11.286826771218045,1.0,0.9693534451612993,-9.275488376216837,False,1.1973038546923729,0.015323277419350356
113.15789473684211,0.35,17.959557820385594,11.286826771218045,1.0,0.9838278103950927,-9.278383249263594,False,1.1973038546923729,0.008086094802453703
113.15789473684211,0.375,17.959557820385594,11.286826771218045,1.0,0.9974973245463008,-9.281117152093836,False,1.1973038546923729,0.0012513377268495995
113.15789473684211,0.39999999999999997,17.959557820385594,11.286826771218045,1.0,1.0,-9.281617687184577,False,1.1973038546923729,0.0
113.15789473684211,0.42499999999999993,17.959557820385594,11.286826771218045,1.0,1.0,-9.281617687184577,False,1.1973038546923729,0.0
113.15789473684211,0.44999999999999996,17.959557820385594,11.286826771218045,1.0,1.0,-9.281617687184577,False,1.1973038546923729,0.0
113.15789473684211,0.475,17.959557820385594,11.286826771218045,1.0,1.0,-9.281617687184577,False,1.1973038546923729,0.0
113.15789473684211,0.5,17.959557820385594,11.286826771218045,1.0,1.0,-9.281617687184577,False,1.1973038546923729,0.0
121.05263157894737,0.15,19.1478733852389,12.074279801768142,0.8676215893495579,0.8138360524805588,-9.170376592956467,False,1.27652489234926,0.1592711790849417
121.05263157894737,0.175,19.1478733852389,12.074279801768142,0.9228031451515923,0.8393175087062006,-9.186509195362003,False,1.27652489234926,0.11893967307110354
121.05263157894737,0.19999999999999998,19.1478733852389,12.074279801768142,0.973432506470946,0.8620345494924603,-9.201178475783125,False,1.27652489234926,0.08226647201829684
121.05263157894737,0.22499999999999998,19.1478733852389,12.074279801768142,1.0,0.8825822252981348,-9.21060150965007,False,1.27652489234926,0.058708887350932604
121.05263157894737,0.25,19.1478733852389,12.074279801768142,1.0,0.901377420649516,-9.214360548720347,False,1.27652489234926,0.04931128967524201
121.05263157894737,0.27499999999999997,19.1478733852389,12.074279801768142,1.0,0.9187243177821036,-9.217829928146864,False,1.27652489234926,0.04063784110894819
121.05263157894737,0.3,19.1478733852389,12.074279801768142,1.0,0.9348521347216986,-9.221055491534784,False,1.27652489234926,0.03257393263915076
121.05263157894737,0.32499999999999996,19.1478733852389,12.074279801768142,1.0,0.949938184599162,-9.224072701510277,False,1.27652489234926,0.025030907700418936
121.05263157894737,0.35,19.1478733852389,12.074279801768142,1.0,0.9641226415710222,-9.226909592904649,False,1.27652489234926,0.017938679214488884
121.05263157894737,0.375,19.1478733852389,12.074279801768142,1.0,0.9775183678893935,-9.229588738168323,False,1.27652489234926,0.011240816055303249
121.05263157894737,0.39999999999999997,19.1478733852389,12.074279801768142,1.0,0.9902176689525992,-9.232128598380964,False,1.27652489234926,0.0048911655237003915
